lat,lon,store
-6.33802,106.79448,X408
-6.5307,106.7996,X131
-7.6136,111.54301,O431
-6.86149,108.53125,V353
-6.8255,108.52446,V146
-6.97082,108.45583,V162
-6.9839,108.48059,V154
-6.70525,107.03482,X080
-7.71657,113.52344,Y088
-7.75753,113.43773,Y091
-8.54353,116.10717,Q176
-2.96028,104.79379,P215
-6.82416,108.72606,V150
-6.63971,108.39296,V211
-6.21551,106.60335,T686
-6.7238,108.46582,V163
-7.7821,113.22853,Y102
-3.76812,103.8056,P251
-6.34756,106.97744,ED70
-7.77144,113.17153,Y095
-6.30528,106.92527,ED60
-6.76326,108.43996,V175
-6.3194,106.58159,T510
-6.7132,105.64671,T705
-6.35533,106.85199,X428
-6.37523,106.7713,X437
-6.92283,107.62115,B761
-7.31886,112.73764,U460
-6.90093,107.65373,B780
-6.07153,106.15626,T014
-6.5087,107.48379,CB72
-6.29326,106.91884,ED62
-8.17786,113.79958,Y128
-6.24583,106.75197,K944
-6.22443,106.94249,J506
-5.14629,119.44485,R043
-8.15625,113.66666,Y134
-6.73912,108.56372,V194
-6.94696,109.13653,V358
-7.6922,111.42069,O448
-6.76642,110.83114,H564
-6.7662,108.17503,V073
0.51722,101.42496,1A10
0.50051,101.43915,1A15
-6.91893,106.95613,X026
-7.84265,112.46801,M383
-8.59479,116.14016,Q189
-6.54742,108.28516,V305
-7.24015,112.72077,U435
-6.36616,106.77522,X440
-6.97883,109.1398,V363
-2.98649,104.75694,P088
-7.48257,109.42471,I380
-6.25608,106.65153,AC43
3.59714,98.64461,W002
-6.17189,106.56188,T079
-6.27791,106.49223,T152
-6.92231,109.18704,V367
-2.94269,104.73101,P233
-6.56653,106.78403,X179
-6.76745,106.79567,X064
-6.90486,106.88679,X041
-6.79696,106.7683,X059
-7.2158,107.90969,B471
-8.1873,113.66702,Y124
-5.14971,119.44151,R250
-6.22702,106.94717,EF79
-6.6881,106.94032,X096
-6.73695,108.58062,V245
-7.42644,109.578,I386
-6.28976,106.89554,EF34
-6.23001,106.82156,K904
-6.87376,108.94715,V318
-6.93998,108.89217,V321
-6.86807,109.0405,V317
-6.50694,106.0854,T657
-7.95214,112.67377,M509
-2.93512,104.73488,P035
3.61568,98.66592,W038
-6.48585,106.83573,X451
-6.21315,106.99534,EF89
-6.1813,106.98151,EF90
-6.49199,106.765,X211
-6.08073,106.42019,T027
-6.67448,108.45241,V247
-7.39708,112.69913,U446
-6.92661,106.92121,X030
-6.91277,106.93361,X035
-8.26265,113.5449,Y066
-6.56583,106.61466,X195
-6.32271,106.907,EF39
-6.22682,106.98614,EG11
-6.26661,106.92547,ED38
-6.25547,106.79045,K965
-6.20546,107.01338,ED25
-6.4982,106.75595,X140
3.61254,98.80018,W042
-8.12295,113.74593,Y073
-6.6076,106.79478,X204
-7.92804,112.6322,M629
